"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
20,"RL",70,11200,"Pave","Reg","Lvl","Inside",1,"Sawyer","Norm","Norm","1Fam","1Story",5,5,93,15,"Hip","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",2,3,2,4,906,2,0,134,1040,"GasA",5,"Y","SBrkr",1040,0,0,1040,1,0,1,0,1,3,5,"Typ",0,"Detchd",65,"Unf",1,384,3,3,"Y",0,0,0,0,0,0,0,2,2,"WD","Normal",129500
60,"RL",85,11924,"Pave","IR1","Lvl","Inside",1,"NridgHt","Norm","Norm","1Fam","2Story",9,5,133,56,"Hip","CompShg","WdShing","Wd Shng","Stone",286,4,3,"PConc",4,3,2,7,998,2,0,177,1175,"GasA",5,"Y","SBrkr",1182,1142,0,2324,1,0,3,0,1,5,11,"Typ",2,"BuiltIn",105,"Fin",3,736,3,3,"Y",147,21,0,0,0,0,0,7,0,"New","Partial",345000
20,"RL",74.5625833333333,12968,"Pave","IR2","Lvl","Inside",1,"Sawyer","Norm","Norm","1Fam","1Story",5,6,90,12,"Hip","CompShg","HdBoard","Plywood","None",0,2,3,"CBlock",2,3,2,6,737,2,0,175,912,"GasA",3,"Y","SBrkr",912,0,0,912,1,0,1,0,1,3,4,"Typ",0,"Detchd",62,"Unf",1,352,3,3,"Y",140,0,0,0,176,0,0,9,2,"WD","Normal",144000
20,"RL",91,10652,"Pave","IR1","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","1Story",7,5,134,57,"Gable","CompShg","VinylSd","VinylSd","Stone",306,3,3,"PConc",3,3,4,2,0,2,0,1494,1494,"GasA",5,"Y","SBrkr",1494,0,0,1494,0,0,2,0,1,4,7,"Typ",1,"Attchd",106,"RFn",3,840,3,3,"Y",160,33,0,0,0,0,0,8,1,"New","Partial",279500
20,"RL",83.6975194805195,10920,"Pave","IR1","Lvl","Corner",1,"NAmes","Norm","Norm","1Fam","1Story",6,5,88,10,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,2,3,"CBlock",2,3,2,5,733,2,0,520,1253,"GasA",3,"Y","SBrkr",1253,0,0,1253,1,0,1,1,1,3,5,"Typ",1,"Attchd",60,"RFn",1,352,3,3,"Y",0,213,176,0,0,0,0,5,2,"WD","Normal",157000
45,"RM",51,6120,"Pave","Reg","Lvl","Corner",1,"BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,57,51,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"BrkTil",2,3,2,2,0,2,0,832,832,"GasA",5,"Y","FuseA",854,0,0,854,0,0,1,0,1,3,5,"Typ",0,"Detchd",91,"Unf",2,576,3,3,"Y",48,112,0,0,0,0,0,7,1,"WD","Normal",132000
20,"RL",72.2029,11241,"Pave","IR1","Lvl","CulDSac",1,"NAmes","Norm","Norm","1Fam","1Story",6,7,98,20,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,2,3,"CBlock",2,3,2,6,578,2,0,426,1004,"GasA",5,"Y","SBrkr",1004,0,0,1004,1,0,1,0,1,3,5,"Typ",1,"Attchd",70,"Fin",2,480,3,3,"Y",0,0,0,0,0,0,700,3,4,"WD","Normal",149000
90,"RL",72,10791,"Pave","Reg","Lvl","Inside",1,"Sawyer","Norm","Norm","Duplex","1Story",4,5,95,17,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"Slab",2.02666666666667,2.95,2.644,2.938,0,2.4,0,0,0,"GasA",3,"Y","SBrkr",1296,0,0,1296,0,0,2,0,2,3,6,"Typ",0,"CarPort",67,"Unf",2,516,3,3,"Y",0,0,0,0,0,0,500,10,0,"WD","Normal",90000
20,"RL",66,13695,"Pave","Reg","Lvl","Inside",1,"SawyerW","RRAe","Norm","1Fam","1Story",5,5,132,54,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",2,3,2,7,646,2,0,468,1114,"GasA",5,"Y","SBrkr",1114,0,0,1114,1,0,1,1,1,4,6,"Typ",0,"Detchd",104,"Unf",2,576,3,3,"Y",0,102,0,0,0,0,0,6,2,"WD","Normal",159000
20,"RL",70,7560,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,6,86,15,"Hip","CompShg","BrkFace","Plywood","None",0,2,3,"CBlock",2,3,2,3,504,2,0,525,1029,"GasA",3,"Y","SBrkr",1339,0,0,1339,0,0,1,0,1,3,6,"Min1",0,"Attchd",58,"Unf",1,294,3,3,"Y",0,0,0,0,0,0,0,5,3,"COD","Abnorml",139000
60,"RL",101,14215,"Pave","IR1","Lvl","Corner",1,"NridgHt","Norm","Norm","1Fam","2Story",8,5,133,56,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,3,3,"PConc",4,3,4,2,0,2,0,1158,1158,"GasA",5,"Y","SBrkr",1158,1218,0,2376,0,0,3,1,1,4,9,"Typ",1,"BuiltIn",105,"RFn",3,853,3,3,"Y",240,154,0,0,0,0,0,11,0,"New","Partial",325300
45,"RM",57,7449,"Pave","Reg","Bnk","Inside",1,"IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,58,0,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"PConc",2,3,2,2,0,2,0,637,637,"GasA",5,"Y","FuseF",1108,0,0,1108,0,0,1,0,1,4,6,"Typ",1,"Attchd",30,"Unf",1,280,3,3,"N",0,0,205,0,0,0,0,6,1,"WD","Normal",139400
20,"RL",75,9742,"Pave","Reg","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","1Story",8,5,130,52,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,3,3,"PConc",3,3,2,2,0,2,0,1777,1777,"GasA",5,"Y","SBrkr",1795,0,0,1795,0,0,2,0,1,4,7,"Typ",1,"Attchd",102,"RFn",2,534,3,3,"Y",171,159,0,0,0,0,0,9,2,"WD","Normal",230000
120,"RM",44,4224,"Pave","Reg","Lvl","Inside",1,"MeadowV","Norm","Norm","TwnhsE","1Story",5,7,104,26,"Gable","CompShg","CemntBd","CmentBd","None",0,2,3,"PConc",3,3,2,7,840,2,0,200,1040,"GasA",3,"Y","SBrkr",1060,0,0,1060,1,0,1,0,1,3,6,"Typ",1,"Attchd",76,"Unf",2,572,3,3,"Y",100,110,0,0,0,0,0,6,1,"WD","Normal",129900
20,"RL",71.3975,8246,"Pave","IR1","Lvl","Inside",1,"Sawyer","Norm","Norm","1Fam","1Story",5,8,96,51,"Gable","CompShg","Plywood","Plywood","None",0,2,4,"CBlock",2,3,3,4,188,6,668,204,1060,"GasA",5,"Y","SBrkr",1060,0,0,1060,1,0,1,0,1,4,6,"Typ",1,"Attchd",68,"Unf",1,270,3,3,"Y",406,90,0,0,0,0,0,5,4,"WD","Normal",154000
20,"RL",110,14230,"Pave","Reg","Lvl","Corner",1,"NridgHt","Norm","Norm","1Fam","1Story",8,5,135,57,"Gable","CompShg","VinylSd","VinylSd","Stone",640,3,3,"PConc",3,3,2,2,0,2,0,1566,1566,"GasA",5,"Y","SBrkr",1600,0,0,1600,0,0,2,0,1,4,7,"Typ",1,"Attchd",107,"RFn",3,890,3,3,"Y",0,56,0,0,0,0,0,7,3,"WD","Normal",256300
20,"RL",60,7200,"Pave","Reg","Lvl","Corner",1,"NAmes","Norm","Norm","1Fam","1Story",5,7,79,50,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",2,3,3,5,234,4,486,180,900,"GasA",3,"Y","SBrkr",900,0,0,900,0,1,1,0,1,4,5,"Typ",0,"Detchd",105,"Unf",2,576,3,3,"Y",222,32,0,0,0,0,0,5,4,"WD","Normal",134800
20,"RL",98,11478,"Pave","Reg","Lvl","Inside",1,"NridgHt","Norm","Norm","1Fam","1Story",8,5,135,58,"Gable","CompShg","VinylSd","VinylSd","Stone",200,3,3,"PConc",4,3,2,7,1218,2,0,486,1704,"GasA",5,"Y","SBrkr",1704,0,0,1704,1,0,2,0,1,4,7,"Typ",1,"Attchd",108,"RFn",3,772,3,3,"Y",0,50,0,0,0,0,0,5,4,"WD","Normal",306000
20,"RL",47,16321,"Pave","IR1","Lvl","CulDSac",1,"NAmes","Norm","Norm","1Fam","1Story",5,6,85,47,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",2,3,5,5,1277,2,0,207,1484,"GasA",3,"Y","SBrkr",1600,0,0,1600,1,0,1,0,1,3,6,"Typ",2,"Attchd",57,"RFn",1,319,3,3,"Y",288,258,0,0,0,0,0,12,0,"WD","Normal",207500
30,"RM",60,6324,"Pave","IR1","Lvl","Inside",1,"BrkSide","Feedr","RRNn","1Fam","1Story",4,6,55,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,3,2,2,0,2,0,520,520,"GasA",2,"N","SBrkr",520,0,0,520,0,0,1,0,1,2,4,"Typ",0,"Detchd",20,"Unf",1,240,2,3,"Y",49,0,87,0,0,0,0,5,2,"WD","Normal",68500
70,"C (all)",50,8500,"Pave","Reg","Lvl","Inside",1,"IDOTRR","Feedr","Norm","1Fam","2Story",4,4,48,0,"Gambrel","CompShg","BrkFace","BrkFace","None",0,2,2,"BrkTil",2,3,2,2,0,2,0,649,649,"GasA",3,"N","SBrkr",649,668,0,1317,0,0,1,0,1,3,6,"Typ",0,"Detchd",20,"Unf",1,250,3,2,"N",0,54,172,0,0,0,0,7,2,"WD","Normal",40000
20,"RL",67.1313333333333,8544,"Pave","IR1","Lvl","CulDSac",1,"Sawyer","Norm","Norm","1Fam","1Story",5,6,94,56,"Gable","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",2,3,2,2,0,2,0,1228,1228,"GasA",4,"Y","SBrkr",1228,0,0,1228,0,0,1,1,1,4,6,"Typ",0,"Attchd",66,"Unf",1,271,3,3,"Y",0,65,0,0,0,0,0,6,2,"WD","Normal",149350
20,"RL",85,11049,"Pave","Reg","Lvl","Corner",1,"CollgCr","Norm","Norm","1Fam","1Story",8,5,135,57,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,4,2,0,2,0,1234,1234,"GasA",5,"Y","SBrkr",1234,0,0,1234,0,0,2,0,1,4,7,"Typ",0,"Attchd",107,"RFn",2,484,3,3,"Y",0,30,0,0,0,0,0,1,2,"WD","Normal",179900
20,"RL",70,10552,"Pave","IR1","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,5,87,9,"Hip","CompShg","BrkFace","BrkFace","None",0,2,3,"CBlock",2,3,2,4,1018,2,0,380,1398,"GasA",4,"Y","SBrkr",1700,0,0,1700,0,1,1,1,1,4,6,"Typ",1,"Attchd",59,"RFn",2,447,3,3,"Y",0,38,0,0,0,0,0,4,4,"WD","Normal",165500
120,"RL",60,7313,"Pave","Reg","Lvl","Inside",1,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,133,55,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,4,3,"PConc",4,3,2,7,1153,2,0,408,1561,"GasA",5,"Y","SBrkr",1561,0,0,1561,1,0,2,0,1,5,6,"Typ",1,"Attchd",105,"Fin",2,556,3,3,"Y",203,47,0,0,0,0,0,8,1,"WD","Normal",277500
60,"RL",108,13418,"Pave","Reg","Lvl","Inside",1,"NridgHt","Norm","Norm","1Fam","2Story",8,5,132,55,"Gable","CompShg","VinylSd","VinylSd","Stone",132,3,3,"PConc",4,3,4,2,0,2,0,1117,1117,"GasA",5,"Y","SBrkr",1132,1320,0,2452,0,0,3,1,1,4,9,"Typ",1,"BuiltIn",104,"Fin",3,691,3,3,"Y",113,32,0,0,0,0,0,9,0,"WD","Normal",309000
20,"RL",112,10859,"Pave","Reg","Lvl","Corner",1,"CollgCr","Norm","Norm","1Fam","1Story",5,5,122,45,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",3,3,2,2,0,2,0,1097,1097,"GasA",5,"Y","SBrkr",1097,0,0,1097,0,0,1,1,1,3,6,"Typ",0,"Attchd",95,"Unf",2,672,3,3,"Y",392,64,0,0,0,0,0,6,3,"WD","Normal",145000
20,"RL",74,8532,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,6,82,40,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,2,3,"CBlock",2,3,2,4,1213,2,0,84,1297,"GasA",4,"Y","SBrkr",1297,0,0,1297,0,1,1,0,1,3,5,"Typ",1,"Attchd",54,"Fin",2,498,3,3,"Y",0,0,0,0,0,0,0,10,3,"WD","Normal",153000
20,"RL",68,7922,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,7,81,57,"Gable","CompShg","VinylSd","VinylSd","None",0,2,4,"CBlock",2,3,2,7,731,2,0,326,1057,"GasA",3,"Y","SBrkr",1057,0,0,1057,1,0,1,0,1,4,5,"Typ",0,"Detchd",53,"Unf",1,246,3,3,"Y",0,52,0,0,0,0,0,1,4,"WD","Abnorml",109000
90,"RL",65,6040,"Pave","Reg","Lvl","Inside",1,"Edwards","Norm","Norm","Duplex","1Story",4,5,83,5,"Gable","CompShg","AsbShng","Plywood","None",0,2,3,"PConc",2.08933333333333,2.94,2.682,2.94733333333333,0,2.344,0,0,0,"GasA",3,"N","FuseP",1152,0,0,1152,0,0,2,0,2,2,6,"Typ",0,"Detchd",55.53,"Unf",0,0,2.73,2.688,"N",0,0,0,0,0,0,0,6,2,"WD","AdjLand",82000
20,"RL",84,8658,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",6,5,93,15,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,2,3,"CBlock",2,3,2,4,643,2,0,445,1088,"GasA",5,"Y","SBrkr",1324,0,0,1324,0,0,2,0,1,3,6,"Typ",1,"Attchd",65,"RFn",2,440,3,3,"Y",0,138,0,0,0,0,0,12,0,"WD","Abnorml",160000
20,"RL",115,16905,"Pave","Reg","Lvl","Inside",1,"Timber","Norm","Norm","1Fam","1Story",5,6,87,9,"Gable","CompShg","VinylSd","VinylSd","None",0,2,4,"CBlock",2,3,5,5,967,2,0,383,1350,"GasA",4,"Y","SBrkr",1328,0,0,1328,0,1,1,1,1,3,5,"Typ",2,"Attchd",59,"RFn",1,308,3,3,"P",0,104,0,0,0,0,0,7,1,"WD","Normal",170000
85,"RL",66.6731333333333,9180,"Pave","IR1","Lvl","CulDSac",1,"SawyerW","Norm","Norm","1Fam","SFoyer",5,7,111,33,"Gable","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",3,3,4,6,747,3,93,0,840,"GasA",4,"Y","SBrkr",884,0,0,884,1,0,1,0,1,4,5,"Typ",0,"Attchd",83,"RFn",2,504,3,4,"Y",240,0,0,0,0,0,0,12,1,"WD","Normal",144000
20,"RL",62.0649333333333,9200,"Pave","IR1","Lvl","CulDSac",1,"CollgCr","Norm","Norm","1Fam","1Story",5,6,103,30,"Hip","CompShg","VinylSd","VinylSd","None",0,2,3,"CBlock",3,3,4,3,280,5,491,167,938,"GasA",3,"Y","SBrkr",938,0,0,938,1,0,1,0,1,3,5,"Typ",0,"Detchd",77,"Unf",1,308,3,3,"Y",145,0,0,0,0,0,0,7,2,"WD","Normal",130250
20,"RL",70,7945,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,6,87,9,"Gable","CompShg","BrkFace","Wd Sdng","None",0,2,3,"CBlock",2,3,2,6,179,5,506,465,1150,"GasA",5,"Y","FuseA",1150,0,0,1150,1,0,1,0,1,3,6,"Typ",0,"Attchd",59,"RFn",1,300,3,3,"Y",0,0,0,0,0,0,0,5,0,"WD","Normal",141000
120,"RL",61,7658,"Pave","Reg","Lvl","Inside",1,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,133,55,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,4,3,"PConc",4,3,2,7,456,2,0,1296,1752,"GasA",5,"Y","SBrkr",1752,0,0,1752,1,0,2,0,1,5,6,"Typ",1,"Attchd",105,"RFn",2,576,3,3,"Y",196,82,0,0,0,0,0,2,4,"WD","Normal",319900
50,"RL",48,12822,"Pave","IR1","Lvl","CulDSac",1,"Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,131,53,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,2,7,1351,2,0,83,1434,"GasA",5,"Y","SBrkr",1518,631,0,2149,1,0,1,1,1,4,6,"Typ",1,"Attchd",103,"RFn",2,670,3,3,"Y",168,43,0,0,198,0,0,8,3,"WD","Abnorml",239686
20,"FV",84,11096,"Pave","Reg","Lvl","Inside",1,"Somerst","Norm","Norm","1Fam","1Story",8,5,134,56,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,4,7,24,2,0,1632,1656,"GasA",5,"Y","SBrkr",1656,0,0,1656,0,0,2,0,1,4,7,"Typ",0,"Attchd",106,"RFn",3,826,3,3,"Y",0,146,0,0,0,0,0,7,1,"WD","Normal",249700
190,"RM",33,4456,"Pave","Reg","Lvl","Inside",1,"OldTown","Norm","Norm","2fmCon","2Story",4,5,48,58,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,3,2,2,0,2,0,736,736,"GasA",4,"Y","SBrkr",736,716,0,1452,0,0,2,0,3,3,8,"Typ",0,"Detchd",42.7233333333333,"Unf",0,0,2.64533333333333,2.53,"N",0,0,102,0,0,0,0,6,3,"New","Partial",113000
20,"RL",66,7742,"Pave","Reg","Lvl","Inside",1,"Sawyer","Norm","Norm","1Fam","1Story",5,7,94,16,"Gable","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",2,3,2,5,763,2,0,192,955,"GasA",5,"Y","SBrkr",955,0,0,955,1,0,1,0,1,3,6,"Typ",0,"Attchd",66,"Unf",1,386,3,3,"Y",0,0,0,0,0,0,0,1,1,"WD","Normal",127000
60,"RL",85.1824523809524,13869,"Pave","IR2","Lvl","Corner",1,"Gilbert","Norm","Norm","1Fam","2Story",6,6,125,47,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",3,3,4,7,182,2,0,612,794,"GasA",4,"Y","SBrkr",794,676,0,1470,0,1,2,0,1,3,6,"Typ",0,"Attchd",97,"Fin",2,388,3,3,"Y",0,75,0,0,0,0,0,7,1,"WD","Normal",177000
50,"RM",52,6240,"Pave","Reg","Lvl","Inside",1,"BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,62,0,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"PConc",2,3,2,2,0,2,0,816,816,"GasA",3,"Y","SBrkr",816,0,360,1176,0,0,1,0,1,3,6,"Typ",1,"Detchd",85,"Unf",2,528,3,3,"Y",112,0,0,0,0,0,400,9,0,"WD","Normal",114500
90,"RM",110,8472,"Grvl","IR2","Bnk","Corner",2,"IDOTRR","RRNn","Norm","Duplex","1Story",5,5,91,13,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,1,3,"CBlock",3,3,5,3,104,7,712,0,816,"GasA",3,"N","SBrkr",816,0,0,816,1,0,1,0,1,3,5,"Typ",0,"CarPort",63,"Unf",2,516,3,3,"Y",106,0,0,0,0,0,0,5,4,"WD","Normal",110000
20,"RL",68,50271,"Pave","IR1","Low","Inside",1,"Veenker","Norm","Norm","1Fam","1Story",9,5,109,37,"Gable","WdShngl","WdShing","Wd Shng","None",0,3,3,"CBlock",4,3,5,7,1810,2,0,32,1842,"GasA",4,"Y","SBrkr",1842,0,0,1842,2,0,0,1,1,4,5,"Typ",1,"Attchd",81,"Fin",3,894,3,3,"Y",857,72,0,0,0,0,0,11,0,"WD","Normal",385000
80,"RL",60,7134,"Pave","Reg","Bnk","Inside",2,"NAmes","Norm","Norm","1Fam","SLvl",5,5,83,5,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",2,3,2,6,384,2,0,0,384,"GasA",3,"Y","SBrkr",1360,0,0,1360,0,0,1,0,1,3,6,"Min1",1,"Detchd",62,"Unf",2,572,3,3,"Y",0,50,0,0,0,0,0,2,1,"WD","Normal",130000
20,"RL",100,10175,"Pave","IR1","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",6,5,92,14,"Gable","CompShg","HdBoard","Plywood","BrkFace",272,2,3,"CBlock",2,3,2,5,490,2,0,935,1425,"GasA",4,"Y","SBrkr",1425,0,0,1425,0,0,2,0,1,3,7,"Typ",1,"Attchd",64,"RFn",2,576,3,3,"Y",0,0,0,407,0,0,0,7,2,"WD","Normal",180500
160,"FV",24,2645,"Pave","Reg","Lvl","Inside",1,"Somerst","Norm","Norm","Twnhs","2Story",8,5,127,50,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,3,3,"PConc",3,3,2,7,649,2,0,321,970,"GasA",5,"Y","SBrkr",983,756,0,1739,1,0,2,1,1,4,7,"Typ",0,"Attchd",99,"Fin",2,480,3,3,"Y",115,0,0,0,0,0,0,8,3,"WD","Abnorml",172500
60,"RL",89,11645,"Pave","IR1","Lvl","Corner",1,"CollgCr","Norm","Norm","1Fam","2Story",7,5,132,54,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,2,2,0,2,0,860,860,"GasA",5,"Y","SBrkr",860,860,0,1720,0,0,2,1,1,4,7,"Typ",0,"Attchd",104,"RFn",2,565,3,3,"Y",0,70,0,0,0,0,0,8,0,"WD","Normal",196500
